symptom,severity_weight,category,notes
chest_pain,0.90,cardiovascular,red_flag_trigger_acs
radiation_arm,0.85,cardiovascular,red_flag_co_symptom_acs
radiation_jaw,0.85,cardiovascular,red_flag_co_symptom_acs
diaphoresis,0.70,cardiovascular,red_flag_co_symptom_acs_sweating
syncope,0.80,cardiovascular,fainting_episode
face_droop,0.95,neurological,red_flag_trigger_stroke_fast
arm_weakness,0.90,neurological,red_flag_trigger_stroke_fast
slurred_speech,0.95,neurological,red_flag_trigger_stroke_fast
sudden_confusion,0.90,neurological,red_flag_trigger_stroke_fast
sudden_vision_loss,0.95,neurological,red_flag_trigger_stroke_fast
worst_headache_ever,0.95,neurological,red_flag_trigger_thunderclap_sah
seizure,0.90,neurological,red_flag_co_symptom
altered_consciousness,0.95,neurological,red_flag_co_symptom_sepsis
tension_headache,0.15,neurological,mild_responds_to_paracetamol
shortness_of_breath,0.75,respiratory,red_flag_co_symptom_acs_anaphylaxis
difficulty_breathing,0.80,respiratory,red_flag_co_symptom_anaphylaxis
cannot_speak_full_sentences,0.95,respiratory,red_flag_trigger_severe_asthma
coughing_blood,0.90,respiratory,red_flag_trigger_hemorrhage
persistent_cough,0.35,respiratory,tb_workup_at_2_plus_weeks
mild_cough,0.10,respiratory,common_cold_symptom
vomiting,0.40,gastrointestinal,co_symptom_dka_anaphylaxis_pregnancy
vomiting_blood,0.95,gastrointestinal,red_flag_trigger_hemorrhage
black_tarry_stool,0.90,gastrointestinal,red_flag_trigger_gi_bleed
abdominal_pain,0.45,gastrointestinal,broad_differential
mild_diarrhea,0.15,gastrointestinal,home_care_when_isolated
dysuria,0.35,genitourinary,uti_suggestive
vaginal_bleeding_pregnancy,0.95,pregnancy,red_flag_trigger_hemorrhage
severe_abdominal_pain_pregnancy,0.90,pregnancy,possible_ectopic_or_eclampsia
fever_mild,0.25,general,under_38_5_celsius
fever_high,0.55,general,38_5_to_39_celsius
fever_very_high,0.75,general,39_plus_celsius
night_sweats,0.35,general,tb_co_symptom
weight_loss_unintentional,0.40,general,tb_or_malignancy_concern
rash,0.25,dermatologic,broad_differential
hives,0.40,dermatologic,anaphylaxis_co_symptom
throat_tightness,0.95,dermatologic,red_flag_trigger_anaphylaxis
skin_infection,0.40,dermatologic,cellulitis_like
high_fever_lethargy_child,0.95,pediatric,red_flag_trigger_imci_danger_sign
poor_feeding_child,0.85,pediatric,red_flag_trigger_imci_danger_sign
fontanelle_bulge,0.95,pediatric,red_flag_trigger_imci_meningitis
difficulty_breathing_child,0.95,pediatric,red_flag_trigger_imci
fruity_breath,0.90,endocrine,red_flag_trigger_dka
high_thirst,0.40,endocrine,dka_co_symptom_with_diabetes_history
suicidal_ideation,1.00,mental_health,red_flag_trigger_self_harm
runny_nose,0.10,ent,mild_cold_symptom
mild_sore_throat,0.15,ent,mild_cold_symptom
conjunctivitis,0.25,ent,pink_eye_clinic_visit_if_discharge
back_pain,0.30,musculoskeletal,clinic_visit_if_new_onset
sprain,0.20,musculoskeletal,minor_injury_home_care
heavy_bleeding,0.95,hemorrhage,red_flag_trigger_shock
